2018-11-02 16:38:54.4831| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.8bc76787-fb07-4847-9212-85688bb691f0
2018-11-02 16:38:54.4931| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.2bb6490a-24b5-4521-a681-a5cec1fee232
2018-11-02 16:38:54.4931| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.2bb6490a-24b5-4521-a681-a5cec1fee232
2018-11-02 16:38:54.5410| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 16:38:54.5410| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 16:38:58.0866| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 16:38:58.0866| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 17:54:07.2434| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-02 17:54:07.2434| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-02 17:54:07.3825| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 17:54:07.3825| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 17:54:07.4034| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 17:54:07.4034| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 17:54:07.4214| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.13870a18-a489-4784-a567-58d13ba912af', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 17:54:07.4214| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.13870a18-a489-4784-a567-58d13ba912af', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 17:54:07.4702| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 17:54:07.4702| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 17:54:07.4902| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.f88cd172-0f9f-4dd9-a97b-1208bc13158c', class=WebApiCrud.Controllers.CronTareaHora
2018-11-02 17:54:07.4902| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.f88cd172-0f9f-4dd9-a97b-1208bc13158c', class=WebApiCrud.Controllers.CronTareaHora
2018-11-02 17:54:07.5121| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 17:54:07.5121| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 17:54:07.5121| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.f88cd172-0f9f-4dd9-a97b-1208bc13158c
2018-11-02 17:54:07.5121| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.f88cd172-0f9f-4dd9-a97b-1208bc13158c
2018-11-02 17:54:07.4912| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.13870a18-a489-4784-a567-58d13ba912af
2018-11-02 17:54:07.4912| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.13870a18-a489-4784-a567-58d13ba912af
2018-11-02 17:54:07.5769| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 17:54:07.5769| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 17:54:54.4287| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 17:54:54.4287| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 17:54:54.5712| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 17:54:54.5712| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 17:55:07.3626| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.13870a18-a489-4784-a567-58d13ba912af', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 17:55:07.3626| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.13870a18-a489-4784-a567-58d13ba912af', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 17:55:07.3766| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.13870a18-a489-4784-a567-58d13ba912af
2018-11-02 17:55:07.3766| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.13870a18-a489-4784-a567-58d13ba912af
2018-11-02 17:55:07.3875| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 17:55:07.3875| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 17:55:07.3766| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 17:55:07.3766| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 17:55:29.2033| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-02 17:55:29.2033| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-02 17:55:29.3370| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 17:55:29.3370| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 17:55:29.3669| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 17:55:29.3669| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 17:55:29.3868| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.d9797f8b-5871-4f4b-adbc-7f786bc45d2e', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 17:55:29.3868| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.d9797f8b-5871-4f4b-adbc-7f786bc45d2e', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 17:55:29.8855| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 17:55:29.8855| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 17:55:29.9004| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.cb924067-a587-455b-9d72-de210575a36e', class=WebApiCrud.Controllers.CronTareaHora
2018-11-02 17:55:29.9004| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.cb924067-a587-455b-9d72-de210575a36e', class=WebApiCrud.Controllers.CronTareaHora
2018-11-02 17:55:29.9134| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 17:55:29.9134| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 17:55:29.9134| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.cb924067-a587-455b-9d72-de210575a36e
2018-11-02 17:55:29.9134| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.cb924067-a587-455b-9d72-de210575a36e
2018-11-02 17:55:29.9004| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.d9797f8b-5871-4f4b-adbc-7f786bc45d2e
2018-11-02 17:55:29.9004| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.d9797f8b-5871-4f4b-adbc-7f786bc45d2e
